product_name,page_url,technical_sheet_url,buy_url,calculator_url,summary_public,finish,recommended_use,surface_targets,benefit_tags,application_methods,related_products,coverage_ranges,drying_times,dilution_hints,presentations,inventory_match_name,inventory_match_ref,inventory_match_score,inventory_match_source,canonical_family_from_inventory
Impregnante para madera,https://www.pintuco.com.co/productos/impregnante-para-madera/,https://www.pintuco.com.co/wp-content/uploads/2019/12/impregnante-eco-wood-stain-base-agua.pdf,https://tienda.pintuco.com/,,"Impregnante base agua o tipo lasur es un monocomponente que decora y protege las maderas de manera preventiva contra los rayos del sol, la humedad, el moho, la mancha azul, termitas y comején, conservando la veta natural y dejando un acabado mate, de rápido secado, fácil aplicación y baja emisión de compuestos orgánico",,"Impregnante base agua o tipo lasur es un monocomponente que decora y protege las maderas de manera preventiva contra los rayos del sol, la humedad, el moho, la mancha azul, termitas y comején, conservando la veta natural y dejando un acabado mate, de rápido secado, fácil aplicación y baja emisión de compuestos orgánico",madera | exterior,antihongos | impermeable | rapido_secado,,,,,,1/4 galón | galón,MH TINTES PARA MADERA AMARILL 7420 0.95L,5891261,85.5,db:vw_inventario_agente,MH TINTES PARA MADERA AMARILL
Esmalte Pintulux 3 en 1 Mate,https://www.pintuco.com.co/productos/esmalte-pintulux-3-en-1-mate/,https://www.pintuco.com.co/download/48692/?tmstv=1672344796,https://tienda.pintuco.com/,,"Pintulux 3 en 1 Mate es un esmalte alquídico que evita lijar en superficies con oxidación leve, contiene anticorrosivo y da un hermoso acabado mate.",,"Pintulux 3 en 1 Mate es un esmalte alquídico que evita lijar en superficies con oxidación leve, contiene anticorrosivo y da un hermoso acabado mate.",metal | exterior,anticorrosivo | durabilidad,,pintulux,,,,galón,CINTA TESA 1,51003275,85.5,db:vw_inventario_agente,CINTA TESA
Barniz,https://www.pintuco.com.co/productos/barniz/,https://www.pintuco.com.co/download/48759/?tmstv=1672344796,https://tienda.pintuco.com/,,Estos son algunos de los beneficios que te ofrece Barniz: Alto rendimiento Fácil aplicación Ahorra tiempo y dinero,,Estos son algunos de los beneficios que te ofrece Barniz: Alto rendimiento Fácil aplicación Ahorra tiempo y dinero,,,,,,,,galón,F BARNIZ K1 AUT  GL-END E40 1/4 GL THII,F51019803,90.0,db:vw_inventario_agente,F BARNIZ K1 AUT GL END E40 THII
Pintura Corrotec Aqua,https://www.pintuco.com.co/productos/pintura-corrotec-aqua/,https://www.pintuco.com.co/download/86538/?tmstv=1721231597,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Pintura Corrotec Aqua,"Pintura Corrotec Aqua es una base preparadora anticorrosiva ecológica de metales ferrosos que utiliza agua como solvente para diluir lo que hace que tenga un secado más rápido, se recomienda como primera capa, ideal cuidar la salud en el hogar, por su bajo olor y bajo VOC, sirve para mejorar la resistencia y durabilida",,"Pintura Corrotec Aqua es una base preparadora anticorrosiva ecológica de metales ferrosos que utiliza agua como solvente para diluir lo que hace que tenga un secado más rápido, se recomienda como primera capa, ideal cuidar la salud en el hogar, por su bajo olor y bajo VOC, sirve para mejorar la resistencia y durabilida",metal | madera | interior | exterior,anticorrosivo | rapido_secado | durabilidad,,corrotec,,,Contiene instrucciones de dilución en la página pública,1/4 galón | galon | galón,BROCHA AQUA PRO MADERA 2 PULG PINTUCO,6448789,85.5,db:vw_inventario_agente,BROCHA AQUA PRO MADERA PULG PINTUCO
Pinturama,https://www.pintuco.com.co/productos/pinturama/,https://www.pintuco.com.co/download/48683/?tmstv=1672344795,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Pinturama,"Pinturama Cubriente es una pintura de acabado mate y terso, con alto poder cubriente y muy bajo salpique de bajo VOC.",Mate.,"Pinturama Cubriente es una pintura de acabado mate y terso, con alto poder cubriente y muy bajo salpique de bajo VOC.",,alto_cubrimiento,,,,,,galón | 5 galones,PINTURAMA VERDE CRISTAL 117848 1G,10013503,90.0,db:vw_inventario_agente,PINTURAMA VERDE CRISTAL
Corrotec Wash Primer Aqua,https://www.pintuco.com.co/productos/corrotec-wash-primer-aqua/,https://www.pintuco.com.co/download/51444/?tmstv=1672344806,https://tienda.pintuco.com/,,Wash Primer Base Agua producto para usar como acondicionador de superficies metálicas no ferrosas en un componente que promueve adherencia por medio de una película continúa sobre superficies no ferrosas como aluminio y galvanizado.,,Wash Primer Base Agua producto para usar como acondicionador de superficies metálicas no ferrosas en un componente que promueve adherencia por medio de una película continúa sobre superficies no ferrosas como aluminio y galvanizado.,metal,,,wash primer,,,,1/4 galón | galón,PQ CORROTEC WASH PRIMER BASE AGUA 3.79L,5891755,88.89,backend_lookup,CORROTEC WASH PRIMER BASE AGUA
Corrotec Pintoxido,https://www.pintuco.com.co/productos/corrotec-pintoxido/,https://www.pintuco.com.co/download/51492/?tmstv=1672344806,https://tienda.pintuco.com/,,"Desoxidante pintóxido es un preparador químico de superficies ferrosas que actúa transformando en sales, los óxidos de hierro duros e impermeables que son difíciles de eliminar con limpieza tipo manual- mecánica.",,"Desoxidante pintóxido es un preparador químico de superficies ferrosas que actúa transformando en sales, los óxidos de hierro duros e impermeables que son difíciles de eliminar con limpieza tipo manual- mecánica.",,antibacterial | impermeable | anticorrosivo,,,,,,galón,CORROTEC PINTOXIDO INCOLORO 514 1/4G,20003696,90.0,db:vw_inventario_agente,CORROTEC PINTOXIDO
Pintura Corrotec Anticorrosivo Premium,https://www.pintuco.com.co/productos/pintura-corrotec-anticorrosivo-premium/,https://www.pintuco.com.co/download/48974/?tmstv=1721241663,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Pintura Corrotec Anticorrosivo Premium,Pintura Corrotec Anticorrosivo Premium es una pintura anticorrosiva base solvente y de acabado mate.,,Pintura Corrotec Anticorrosivo Premium es una pintura anticorrosiva base solvente y de acabado mate.,metal | exterior,anticorrosivo | durabilidad,,corrotec,,,,1/4 galón | galon | galón,PINTURA VARIOS,56252453,85.5,db:vw_inventario_agente,PINTURA VARIOS
Corrotec Aluminio ECP-100,https://www.pintuco.com.co/productos/corrotec-aluminio-ecp-100/,https://www.pintuco.com.co/download/51439/?tmstv=1672344806,https://tienda.pintuco.com/,,"Aluminio Líquido Extrareflectivo Brillante ECP 100 es un recubrimiento a base de resinas alquídicas que proporciona un acabado de aluminio brillante con un alto poder reflectivo, fácil aplicación, buena adherencia y cubrimiento; es resistente a la intemperie y a temperaturas máximas de 260°C en seco (No es apto para us",,"Aluminio Líquido Extrareflectivo Brillante ECP 100 es un recubrimiento a base de resinas alquídicas que proporciona un acabado de aluminio brillante con un alto poder reflectivo, fácil aplicación, buena adherencia y cubrimiento; es resistente a la intemperie y a temperaturas máximas de 260°C en seco (No es apto para us",metal | exterior,alto_cubrimiento | durabilidad,,,,,,galón,CORROTEC P. EPOX 50RS GRIS 1G Y CAT 1G,10703066,85.5,db:vw_inventario_agente,CORROTEC P. EPOX 50RS GRIS Y CAT
Estucomastic 2 en 1,https://www.pintuco.com.co/productos/estucomastic/,https://www.pintuco.com.co/download/64446/?tmstv=1728397356,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=estucos&&name_product=Estucomastic 2 en 1,"Estucomastic 2 en 1 es una masilla plástica lista para usar, con doble funcionalidad ya que puede usarse como estuco interior y como masilla para tratamiento de juntas en placas de yeso (drywall).",,"Estucomastic 2 en 1 es una masilla plástica lista para usar, con doble funcionalidad ya que puede usarse como estuco interior y como masilla para tratamiento de juntas en placas de yeso (drywall).",madera | mamposteria | interior,,,estuco,,,,,PQ ESTUCOMASTIC 2 EN 1 WHITE 1K,5951259,90.0,db:vw_inventario_agente,ESTUCOMASTIC EN WHITE 1K
Esmalte Sintético,https://www.pintuco.com.co/productos/domestico/,https://www.pintuco.com.co/download/48989/?tmstv=1672344798,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Esmalte Sintético,"Es un esmalte sintético a base de aceite resistente al agua, con buena durabilidad, alto brillo y adherencia.",,"Es un esmalte sintético a base de aceite resistente al agua, con buena durabilidad, alto brillo y adherencia.",metal,durabilidad,,,,,,1/4 galón | galón | 5 galones,ESMALTE SINTETICO PINTULUX AMARILLO 18 2,10017047,90.0,db:vw_inventario_agente,ESMALTE SINTETICO PINTULUX
Corrotec Wash Primer Base Solvente 509A / 509B,https://www.pintuco.com.co/productos/corrotec-wash-primer-base-solvente-509a-509b/,https://www.pintuco.com.co/download/51254/?tmstv=1672344802,https://tienda.pintuco.com/,,Wash primer base solvente 509A / 509B es un acondicionador de superficies metálicas ferrosas y no ferrosas.,,Wash primer base solvente 509A / 509B es un acondicionador de superficies metálicas ferrosas y no ferrosas.,metal | exterior,anticorrosivo,,wash primer,,,,,KORAZA PLASTICA BASE TINT 2.5G,10127998,85.5,db:vw_inventario_agente,KORAZA PLASTICA .
Pintura Viniltex Tiza,https://www.pintuco.com.co/productos/pintura-viniltex-tiza/,https://www.pintuco.com.co/download/48670/?tmstv=1672344795,https://tienda.pintuco.com/,,"Viniltex Tiza Es una pintura premium base agua, que permite crear un tablero o pizarra para escribir con tiza en superficies como paredes, cerámica, madera, vidrio o metal.",Mate,"Viniltex Tiza Es una pintura premium base agua, que permite crear un tablero o pizarra para escribir con tiza en superficies como paredes, cerámica, madera, vidrio o metal.",metal | madera | mamposteria,,,viniltex,,,,1/4 galón | galón,VINILTEX PRO 650 MENTA FRESCA 1549 5G,10400587,85.5,db:vw_inventario_agente,VINILTEX PRO 650 MENTA FRESCA
Intersleek 1100SR,https://www.pintuco.com.co/productos/intersleek-1100sr/,https://marinecoatings.brand.akzonobel.com/m/74c8db4264c4c6c2/original/Intershield_7100LWT_spa_A4_20170117.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Intersleek 1100SR,,,,,,,,,,,,INTERSLEEK 1100SR PARTE C 0.42G,10367537,90.0,db:vw_inventario_agente,INTERSLEEK 1100SR PARTE C .
Intersleek 731,https://www.pintuco.com.co/productos/intersleek-731/,https://marinecoatings.brand.akzonobel.com/m/3620090548322fbb/original/Intersleek_731_spa_usa_A4_20161118.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Intersleek 731,Intermedio elastomérico de silicón de dos componentes.,,Intermedio elastomérico de silicón de dos componentes.,,,,,,,,,INTERSLEEK 731 PARTE B 1G,10367539,90.0,db:vw_inventario_agente,INTERSLEEK
Intersmooth 7465HS,https://www.pintuco.com.co/productos/intersmooth-7465hs/,https://marinecoatings.brand.akzonobel.com/m/546ecf5032b2b7bd/original/Intersmooth_7465HS_SPC_spa_usa_A4_20210127.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Intersmooth 7465HS,Diseñado específicamente para embarcaciones de alta mar.,,Diseñado específicamente para embarcaciones de alta mar.,,,,,,,,5 galones,INTERSMOOTH 7465HS SPC ROJO GALON,10375755,90.0,db:vw_inventario_agente,INTERSMOOTH 7465HS SPC ROJO GALON
Interspeed 640,https://www.pintuco.com.co/productos/interspeed-640/,https://marinecoatings.brand.akzonobel.com/m/2b7d52f17b0d1f06/original/Interspeed_640_spa_A4_20160519.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Interspeed 640,"Antiincrustante autopulimentante sin TBT, de alta eficacia.",,"Antiincrustante autopulimentante sin TBT, de alta eficacia.",exterior,alto_cubrimiento,,,,,,5 galones,INTERSPEED 640 NEGRO BRA642/5 5G,10128134,90.0,db:vw_inventario_agente,INTERSPEED 640 NEGRO BRA642
Intershield 6GV,https://www.pintuco.com.co/productos/intershield-6gv/,https://marinecoatings.brand.akzonobel.com/m/643122182505663f/original/Intershield_6GV_USA_eng_usa_A4_20220323.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Intershield 6GV,"Para su aplicación donde se requiera un revestimiento de cubierta enrollable, de alta durabilidad, con baja absorción solar y antideslizante.",,"Para su aplicación donde se requiera un revestimiento de cubierta enrollable, de alta durabilidad, con baja absorción solar y antideslizante.",exterior,durabilidad,,,,,,galón,F K INTERSHIELD BRONCE PAR A 2.5G PAR B,F51019932,85.5,db:vw_inventario_agente,F K INTERSHIELD BRONCE PAR A . PAR B
Intershield 7100LWT,https://www.pintuco.com.co/productos/intershield-7100lwt/,https://marinecoatings.brand.akzonobel.com/m/74c8db4264c4c6c2/original/Intershield_7100LWT_spa_A4_20170117.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Intershield 7100LWT,"Como recubrimiento previo a revestimientos, ultraligero, autonivelante para sistemas de cubiertas interiores y exteriores.",,"Como recubrimiento previo a revestimientos, ultraligero, autonivelante para sistemas de cubiertas interiores y exteriores.",interior | exterior,alto_cubrimiento,,,,,,,F K INTERSHIELD BRONCE PAR A 2.5G PAR B,F51019932,85.5,db:vw_inventario_agente,F K INTERSHIELD BRONCE PAR A . PAR B
Intertherm 3350,https://www.pintuco.com.co/productos/intertherm-3350/,https://international.brand.akzonobel.com/m/5ef1b3d45d00af82/original/Intertherm_3350_eng_A4_20191113.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Intertherm 3350,,,,,,,,,,,5 galones,INTERTHERM 50 HTA097/20L/AA7,5864048,85.5,db:vw_inventario_agente,INTERTHERM HTA097
Polibrid 705E,https://www.pintuco.com.co/productos/polibrid-705e/,https://international.brand.akzonobel.com/m/34074909b235f3ad/original/Polibrid_705E_spa_A4_20230210.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Polibrid 705E,"Polibrid 705E es un revestimiento flexible de alto espesor diseñado para proteger el hormigón y el acero en entornos químicos, de abrasión y de alto impacto, ideal para encapsular remaches, pernos, bordes y otras imperfecciones de la superficie.",,"Polibrid 705E es un revestimiento flexible de alto espesor diseñado para proteger el hormigón y el acero en entornos químicos, de abrasión y de alto impacto, ideal para encapsular remaches, pernos, bordes y otras imperfecciones de la superficie.",metal,,,,,,,,POLIBRID 705 TAN PARTE A - PEA046/50GL T,10289692,96.0,backend_lookup,POLIBRID 705 TAN PEA046 T
Interline 975P,https://www.pintuco.com.co/productos/interline-975p/,https://international.brand.akzonobel.com/m/617498615a28565c/original/Interline_975P_spa_usa_LTR_20230117.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Interline 975P,"Para aplicación en interior de tanques de acero ofreciendo resistencia a la corrosión para un amplio rango de cargas, incluyendo Petróleo crudo, derivados claros del petróleo y agua potable.",,"Para aplicación en interior de tanques de acero ofreciendo resistencia a la corrosión para un amplio rango de cargas, incluyendo Petróleo crudo, derivados claros del petróleo y agua potable.",metal | interior,anticorrosivo,,,,,,,INTERLINE 975P PARTE B THA962 1.5G,10397819,90.0,db:vw_inventario_agente,INTERLINE 975P THA962 .
Interplate 855,https://www.pintuco.com.co/productos/interplate-855/,https://international.brand.akzonobel.com/m/1c6c580f48e9e430/original/Interplate_855_spa_A4_20170313.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Interplate 855,Como imprimación temporal protectora del recubrimiento del acero antes del proceso de fabricación.,,Como imprimación temporal protectora del recubrimiento del acero antes del proceso de fabricación.,metal,alto_cubrimiento,,,,,,,INTERPLATE 937 GRIS PARTE A 1.88 GAL,10336788,88.0,backend_lookup,INTERPLATE 937 GRIS 1.88 GAL
Intershield 5150LWT,https://www.pintuco.com.co/productos/intershield-5150lwt/,https://marinecoatings.brand.akzonobel.com/m/428b3c78ff6cf193/original/Intershield_5150LWT_spa_A4_20150204.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Intershield 5150LWT,"Donde quiera que se requiera un revestimiento aplicable a rodillo, antideslizante, ligero y de alta durabilidad.",,"Donde quiera que se requiera un revestimiento aplicable a rodillo, antideslizante, ligero y de alta durabilidad.",,durabilidad,rodillo,,,,,,F K INTERSHIELD BRONCE PAR A 2.5G PAR B,F51019932,85.5,db:vw_inventario_agente,F K INTERSHIELD BRONCE PAR A . PAR B
Intergard 269,https://www.pintuco.com.co/productos/intergard-269/,https://international.brand.akzonobel.com/m/a0e0d699998cdea/original/Intergard_269_spa_A4_20231208.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Intergard 269,"Como imprimación para mantenimiento de chorro apta para su uso en condiciones sumergidas y ambientales, y repintable por una amplia gama de sistemas de alto rendimiento.",,"Como imprimación para mantenimiento de chorro apta para su uso en condiciones sumergidas y ambientales, y repintable por una amplia gama de sistemas de alto rendimiento.",metal,,,,,,,,INTERGARD 269 PARTE A ROJO EGA088/5 4G,10128241,90.0,db:vw_inventario_agente,INTERGARD
Interline 925,https://www.pintuco.com.co/productos/interline-925/,https://international.brand.akzonobel.com/m/7af556fc2821540b/original/Interline_925_spa_A4_20201217.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Interline 925,,,,,,,,,,,,F KIT INTERLINE 925 PARTE A BLANCO 10128,F51020100,90.0,db:vw_inventario_agente,F KIT INTERLINE
Arena Quarzo G300N,https://www.pintuco.com.co/productos/arena-quarzo-g300n/,https://www.pintuco.com.co/wp-content/uploads/2019/12/ft-arena-quarzo-g300n.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Arena Quarzo G300N,Arena quarzo G300N es una sílice utilizada como aditivo en sistemas de pintado para pavimentos,,Arena quarzo G300N es una sílice utilizada como aditivo en sistemas de pintado para pavimentos,,,,,,,,,ARENA QUARZO G300N UFA850/25KG/AA7,5891610,90.0,db:vw_inventario_agente,ARENA QUARZO G300N
Enviroline 2405,https://www.pintuco.com.co/productos/enviroline-2405/,https://international.brand.akzonobel.com/m/5cbcf24ab5092897/original/Enviroline_2405_spa_usa_LTR_20231019.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Enviroline 2405,"Un sistema de revestimiento bi-componente de alto contenido en sólidos que utiliza tecnología epóxica avanzada, diseñado para su aplicación con una sola bomba.",,"Un sistema de revestimiento bi-componente de alto contenido en sólidos que utiliza tecnología epóxica avanzada, diseñado para su aplicación con una sola bomba.",exterior,,,,,,,,IP COLORANTE HS MAGENTA PR122 GVA912 1G,10392405,42.86,backend_lookup,IP COLORANTE HS MAGENTA PR122 GVA912
Interbond 1202UPC,https://www.pintuco.com.co/productos/interbond-1202upc/,https://international.brand.akzonobel.com/m/386d0d545b0c2fa4/original/Interbond_1202UPC_spa_usa_LTR_20210907.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Interbond 1202UPC,,,,,,,,,,,,KIT INTERBOND 1202UPC MET GREY 3.3G+.07G,10346873,90.0,db:vw_inventario_agente,KIT INTERBOND 1202UPC MET GREY . +.
Interthane 990,https://www.pintuco.com.co/productos/interthane-990/,https://international.brand.akzonobel.com/m/2a7bc2f796297109/original/Interthane_990_spa_usa_LTR_20221020.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Interthane 990,,,,,,,,,,,galón,INTERTHANE 990 NARANJA RAL2003 P.A 4.29G,10252270,90.0,db:vw_inventario_agente,INTERTHANE 990 NARANJA RAL2003 P.A .
Pintunov 100WS,https://www.pintuco.com.co/productos/pintunov-100ws/,https://www.pintuco.com.co/wp-content/uploads/2019/12/ft-pintunov-100ws.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Pintunov 100WS,Pintunov 100WS es un recubrimiento auto imprimante epóxico modificado 100% sólidos.,,Pintunov 100WS es un recubrimiento auto imprimante epóxico modificado 100% sólidos.,exterior,alto_cubrimiento,,,,,,,PINTUNOV 51125 UFA350/20L/AA7,5892594,85.5,db:vw_inventario_agente,PINTUNOV
Construcleaner limpiador desengrasante,https://www.pintuco.com.co/productos/construcleaner-limpiador-desengrasente/,https://www.pintuco.com.co/download/66081/?tmstv=1678971830,https://tienda.pintuco.com/,,"Construcleaner Limpiador Desengrasante es un limpiador base agua, no ácido, formulado con aditivos especiales para remover fácilmente las manchas generadas por hollín, polvo, grasa, aceite y otros contaminantes que afectan la buena apariencia de las fachadas.",,"Construcleaner Limpiador Desengrasante es un limpiador base agua, no ácido, formulado con aditivos especiales para remover fácilmente las manchas generadas por hollín, polvo, grasa, aceite y otros contaminantes que afectan la buena apariencia de las fachadas.",mamposteria | exterior,,,,,,,5 galones,LIMPIADOR DE JUNTAS 650ML,51018920,85.5,db:vw_inventario_agente,LIMPIADOR DE JUNTAS
Pintura electrostática Poliéster Clarity,https://www.pintuco.com.co/productos/pintura-electrostatica-poliester-clarity/,/download/93955/?tmstv=1718898221,https://tienda.pintuco.com/,,,,,,,,,,,,,POLIESTER COMBINADO 1/4,56254222,85.5,db:vw_inventario_agente,POLIESTER COMBINADO
Pintura electrostática poliéster Corrotec,https://www.pintuco.com.co/productos/pintura-electrostatica-poliester-corrotec/,https://www.pintuco.com.co/download/49773/?tmstv=1676921348,https://tienda.pintuco.com/,,"Pintura electrostática Poliéster corrotec formulada con resina Poliéster ofrece alta resistencia a la corrosión, excelente resistencia química, mecánica, al rayado superficial y alta dureza.",,"Pintura electrostática Poliéster corrotec formulada con resina Poliéster ofrece alta resistencia a la corrosión, excelente resistencia química, mecánica, al rayado superficial y alta dureza.",exterior,anticorrosivo | alto_cubrimiento,,corrotec,,,,,POLIESTER COMBINADO 1/4,56254222,85.5,db:vw_inventario_agente,POLIESTER COMBINADO
Mega Primer 2K MG6001,https://www.pintuco.com.co/productos/mega-primer-2k-mg-6001/,https://www.pintuco.com.co/download/60688/?tmstv=1672344816,https://tienda.pintuco.com/,,"Mega Primer 2K MG 6001 es un producto dos (2) componentes de secado al aire con excelentes propiedades de adherencia, fácil lijado, alto contenido de sólidos, alto poder de relleno y muy buen cubrimiento en la aplicación.",,"Mega Primer 2K MG 6001 es un producto dos (2) componentes de secado al aire con excelentes propiedades de adherencia, fácil lijado, alto contenido de sólidos, alto poder de relleno y muy buen cubrimiento en la aplicación.",exterior,alto_cubrimiento | rapido_secado,,,,,,,MEG PRIMER 2K MG6001 AC 3.78L,5893423,97.56,backend_lookup,MEG PRIMER 2K MG6001 AC
Asepsia Ultra Acríl Uretano pintura para hospitales,https://www.pintuco.com.co/productos/asepsia-acril-uretano/,https://www.pintuco.com.co/download/64467/?tmstv=1672344834,https://tienda.pintuco.com/,,,,,,,,,,,,galón | 5 galones,"DISCO PARA CONCRETO 7""",56254161,85.5,db:vw_inventario_agente,"DISCO PARA CONCRETO """
Pintura impermeabilizante aquablock ultra,https://www.pintuco.com.co/productos/impermeabilizante-aquablock-ultra/,https://www.pintuco.com.co/download/64378/?tmstv=1672344833,https://tienda.pintuco.com/,,"Aquablock Ultra es una pintura impermeabilizante, es acrílica base agua de alto desempeño, para uso interior y exterior, posee resinas acrílicas, fungicidas y micro partículas que penetran el sustrato, lo sellan e inhiben el paso de la humedad por capilaridad o presión negativa.",,"Aquablock Ultra es una pintura impermeabilizante, es acrílica base agua de alto desempeño, para uso interior y exterior, posee resinas acrílicas, fungicidas y micro partículas que penetran el sustrato, lo sellan e inhiben el paso de la humedad por capilaridad o presión negativa.",interior | exterior,impermeable,,,,,,1/4 galón | galón | 5 galones,SELLADOR ULTRA PRO,56253585,85.5,db:vw_inventario_agente,SELLADOR ULTRA PRO
Esmalte Pintulux 3 en 1 Forja,https://www.pintuco.com.co/productos/pintulux-3-en-1-forja/,https://www.pintuco.com.co/download/60402/?tmstv=1672344815,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Esmalte Pintulux 3 en 1 Forja,"Pintulux 3 en 1 Forja es un esmalte Premium base solvente de fácil aplicación, para superficies de metal y madera, ideal para ahorrar tiempo y dinero gracias a su fórmula triple acción con anticorrosivo que prepara, protege y decora con un acabado rústico tipo hierro forjado en un solo paso.",,"Pintulux 3 en 1 Forja es un esmalte Premium base solvente de fácil aplicación, para superficies de metal y madera, ideal para ahorrar tiempo y dinero gracias a su fórmula triple acción con anticorrosivo que prepara, protege y decora con un acabado rústico tipo hierro forjado en un solo paso.",metal | madera | exterior,anticorrosivo | durabilidad,,pintulux,,,,1/4 galón | galón,CINTA TESA 1,51003275,85.5,db:vw_inventario_agente,CINTA TESA
Endurecedor E30,https://www.pintuco.com.co/productos/endurecedor-e30/,https://www.pintuco.com.co/download/60682/?tmstv=1672344816,https://tienda.pintuco.com/,,"Endurecedor E30 es un producto diseñado específicamente para mezclar con sistemas 2K, primers, clears y sistemas de color Poliuretano.",,"Endurecedor E30 es un producto diseñado específicamente para mezclar con sistemas 2K, primers, clears y sistemas de color Poliuretano.",,,,,,,,1/4 galón | galón,ENDURECEDOR E-70 BASE FLASH 1/4G,10384343,85.5,db:vw_inventario_agente,ENDURECEDOR E BASE FLASH
Imprimante acrílico Imprimax,https://www.pintuco.com.co/productos/imprimante-acrilico-imprimax/,https://www.pintuco.com.co/download/64398/?tmstv=1672344833,https://tienda.pintuco.com/,,lmprimax es un recubrimiento l 00% acrílico base agua de alta penetración en el sustrato y con excelente poder sellante.,,lmprimax es un recubrimiento l 00% acrílico base agua de alta penetración en el sustrato y con excelente poder sellante.,,alto_cubrimiento,,,,,00% acrílico base agua de alta penetración en el sustrato y con excelente poder sellante,galón | 5 galones,MEG PRIMER PARA PLASTICOS 28600 AC 0.94L,5891273,51.85,backend_lookup,MEG PRIMER PARA PLASTICOS 28600 AC
Sellador para pared Imprimax base color 3502,https://www.pintuco.com.co/productos/imprimax-base-color-3502/,https://www.pintuco.com.co/download/64402/?tmstv=1672344833,https://tienda.pintuco.com/,,lmprimax base color 3502 es un sellador para pared 100% acrílico base agua de alta penetración en el sustrato y con excelente poder sellante.,,lmprimax base color 3502 es un sellador para pared 100% acrílico base agua de alta penetración en el sustrato y con excelente poder sellante.,metal | mamposteria,,,,,,100% acrílico base agua de alta penetración en el sustrato y con excelente poder sellante,galón | 5 galones,"DISCO PARA CONCRETO 7""",56254161,85.5,db:vw_inventario_agente,"DISCO PARA CONCRETO """
Cinta sellagoteras,https://www.pintuco.com.co/productos/cinta-sellagoteras/,https://www.pintuco.com.co/download/50914/?tmstv=1736354789,https://tienda.pintuco.com/,,Cinta Sellagoteras asfáltica autoadhesiva y de fácil instalación para impermeabilización y reparación de todo tipo de superficies expuestas o no a la intemperie.,,Cinta Sellagoteras asfáltica autoadhesiva y de fácil instalación para impermeabilización y reparación de todo tipo de superficies expuestas o no a la intemperie.,metal | exterior,impermeable | durabilidad,,,,,,,KIT NI 10X11 SELLAGOTERAS CINTA 10CMX10M,20019946,100.0,backend_lookup,KIT NI 10X11 SELLAGOTERAS CINTA 10CMX10M
