product_name,page_url,technical_sheet_url,buy_url,calculator_url,summary_public,finish,recommended_use,surface_targets,benefit_tags,application_methods,related_products,coverage_ranges,drying_times,dilution_hints,presentations,inventory_match_name,inventory_match_ref,inventory_match_score,inventory_match_source,canonical_family_from_inventory
Sellador Pintuco Fix Professional,https://www.pintuco.com.co/productos/sellador-pintuco-fix-professional/,https://www.pintuco.com.co/download/64518/?tmstv=1672344834,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=siliconas-y-selladores&&name_product=Sellador Pintuco Fix Professional,"Pintuco Fix Professional es un sellador-Adhesivo elástico a base de polímero MS, de alta calidad y excelente adhesión sobre prácticamente todo tipo de materiales en construcción.",,"Pintuco Fix Professional es un sellador-Adhesivo elástico a base de polímero MS, de alta calidad y excelente adhesión sobre prácticamente todo tipo de materiales en construcción.",exterior,,,,,,,,PINTUCO 1 17050 44 KG,10339209,85.5,db:vw_inventario_agente,PINTUCO
Pintuco Silicona Transparente,https://www.pintuco.com.co/productos/pintuco-silicona-transparente/,https://www.pintuco.com.co/download/64534/?tmstv=1672344834,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=siliconas-y-selladores&&name_product=Pintuco Silicona Transparente,"Pintuco Silicona Transparente un sellador de silicona acética de uso general en materiales lisos (no porosos): vidrio, cerámica, aluminio y materiales no oxidables, etc.",,"Pintuco Silicona Transparente un sellador de silicona acética de uso general en materiales lisos (no porosos): vidrio, cerámica, aluminio y materiales no oxidables, etc.",metal,antihongos,,,,,,,SILICONA,56253752,90.0,db:vw_inventario_agente,SILICONA
Pintuco Silicona Neutra,https://www.pintuco.com.co/productos/pintuco-silicona-neutra/,https://www.pintuco.com.co/download/64531/?tmstv=1672344834,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=siliconas-y-selladores&&name_product=Pintuco Silicona Neutra,"Pintuco Silicona Neutra es un sellador de silicona neutra de alta calidad y excelente adherencia sobre la mayoría de los materiales de construcción, porosos y no porosos: ladrillo, concreto, vidrio, aluminio, cerámica, PVC, acrílico, policarbonato y madera.",,"Pintuco Silicona Neutra es un sellador de silicona neutra de alta calidad y excelente adherencia sobre la mayoría de los materiales de construcción, porosos y no porosos: ladrillo, concreto, vidrio, aluminio, cerámica, PVC, acrílico, policarbonato y madera.",metal | madera | mamposteria | interior | exterior,,,,,,,,PINTUCO SILICONA NEUTRA GRIS 300ML,10352183,95.0,db:vw_inventario_agente,PINTUCO SILICONA NEUTRA
Pintuco Espuma de Poliuretano,https://www.pintuco.com.co/productos/pintuco-espuma-de-poliuretano/,https://www.pintuco.com.co/download/64515/?tmstv=1672344834,https://tienda.pintuco.com/,,"Pintuco Espuma de Poliuretano es una espuma expansiva de poliuretano que cura con la exposición a la humedad ambiental, para rellenar, aislar y sellar huecos, ranuras y canales.",,"Pintuco Espuma de Poliuretano es una espuma expansiva de poliuretano que cura con la exposición a la humedad ambiental, para rellenar, aislar y sellar huecos, ranuras y canales.",,impermeable,,,,,,,TAMBOR DE AGUARRAS,56253699,85.5,db:vw_inventario_agente,TAMBOR DE AGUARRAS
Sellador poliuretano Pintuco Flex Professional,https://www.pintuco.com.co/productos/sellador-poliuretano-pintuco-flex-professional/,https://www.pintuco.com.co/download/64522/?tmstv=1672344834,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=siliconas-y-selladores&&name_product=Sellador poliuretano Pintuco Flex Professional,"Pintuco Flex Professional es un sellador poliuretano elástico monocomponente de alto desempeño y secado con la humedad del aire, para la aplicación en interiores y exteriores.",,"Pintuco Flex Professional es un sellador poliuretano elástico monocomponente de alto desempeño y secado con la humedad del aire, para la aplicación en interiores y exteriores.",interior | exterior,impermeable | rapido_secado,,,,,,,PINTUCO FILL 7 ROJO TEJA 11K,10384452,85.5,db:vw_inventario_agente,PINTUCO FILL ROJO TEJA 11K
Pintuco Silicona Ultra 3 en 1,https://www.pintuco.com.co/productos/pintuco-silicona-ultra-2/,https://www.pintuco.com.co/download/64528/?tmstv=1672344834,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=siliconas-y-selladores&&name_product=Pintuco Silicona Ultra 3 en 1,"Pintuco Silicona Ultra es un sellador de silicona acética de alta calidad, con fungicidas que evitan la formación de moho y hongos, para realizar sellos elásticos e impermeables sobre sustratos lisos (no porosos) como Vidrio-Aluminio, Vidrio-Vidrio y en Zonas húmedas.",,"Pintuco Silicona Ultra es un sellador de silicona acética de alta calidad, con fungicidas que evitan la formación de moho y hongos, para realizar sellos elásticos e impermeables sobre sustratos lisos (no porosos) como Vidrio-Aluminio, Vidrio-Vidrio y en Zonas húmedas.",metal | interior | exterior,antihongos | impermeable,,,,,,,SILICONA,56253752,90.0,db:vw_inventario_agente,SILICONA
Estuco Premium Interior,https://www.pintuco.com.co/productos/estuco-profesional-interior/,https://www.pintuco.com.co/download/64455/?tmstv=1672344834,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=estucos&&name_product=Estuco Premium Interior,"Estuco Profesional Interior es una masilla plástica de alta blancura y excelente adherencia sobre los diferentes materiales de construcción, especialmente diseñado para muros y cielos en ambientes interiores que no tienen exposición directa o permanente a la intemperie.",,"Estuco Profesional Interior es una masilla plástica de alta blancura y excelente adherencia sobre los diferentes materiales de construcción, especialmente diseñado para muros y cielos en ambientes interiores que no tienen exposición directa o permanente a la intemperie.",madera | mamposteria | interior | exterior,,,estuco,,,,,ESGRAFIADO PREMIUM 34TX-8A 4 GL 30 KG,10220174,85.5,db:vw_inventario_agente,ESGRAFIADO PREMIUM 34TX 8A
Pintura impermeabilizante Madetec Vareta,https://www.pintuco.com.co/productos/madetec-vareta/,https://www.pintuco.com.co/download/48685/?tmstv=1672344796,https://tienda.pintuco.com/,,"Vareta es ideal para proteger estacones, corrales, postes, establos, portones y todo tipo de construcciones de madera que estén expuestos a la intemperie.",,"Vareta es ideal para proteger estacones, corrales, postes, establos, portones y todo tipo de construcciones de madera que estén expuestos a la intemperie.",metal | madera | exterior,,,,,,,galón | 5 galones,PINTURA IMPERMEABILIZANTE VARETA 55GLN,10229709,86.86,db:vw_inventario_agente,PINTURA IMPERMEABILIZANTE VARETA 55GLN
Barniz Barnex Extra Protección,https://www.pintuco.com.co/productos/barnex-extra-proteccion/,https://www.pintuco.com.co/download/48700/?tmstv=1672344796,https://tienda.pintuco.com/,,"Barnex Extra Protección es un barniz coloreado ideal para la protección y decoración de superficies de madera en ambientes exteriores como puertas, portones, cercas, ventanas, techos, balcones, pasamanos, columnas, vigas, pérgolas y muebles de jardín.",,"Barnex Extra Protección es un barniz coloreado ideal para la protección y decoración de superficies de madera en ambientes exteriores como puertas, portones, cercas, ventanas, techos, balcones, pasamanos, columnas, vigas, pérgolas y muebles de jardín.",metal | madera | mamposteria | exterior,antihongos | impermeable,brocha | rodillo | pistola | espatula,ajustador,,,Brocha o rodillo 1 galón No requerido Pistola convencional 1 galón ¼ de galón Aplica de 3 a 4 manos (capas) en el sentido de la veta de | Pistola convencional 1 galón ¼ de galón Aplica de 3 a 4 manos (capas) en el sentido de la veta de la madera y deja secar de 6 a 8 horas entr,galón,YESO EXTRA KL,56256545,85.5,db:vw_inventario_agente,YESO EXTRA KL
Barnex Barniz Exterior,https://www.pintuco.com.co/productos/barnex-barniz-exterior/,https://www.pintuco.com.co/download/48963/?tmstv=1672344797,https://tienda.pintuco.com/,,"Barnex Barniz Exterior es un barniz tipo uretano base solvente transparente, de fácil aplicación, que penetra la madera y permite su transpiración, proporcionando alta protección en exteriores, incluso en ambientes marinos y tropicales.",,"Barnex Barniz Exterior es un barniz tipo uretano base solvente transparente, de fácil aplicación, que penetra la madera y permite su transpiración, proporcionando alta protección en exteriores, incluso en ambientes marinos y tropicales.",madera | exterior,impermeable | durabilidad,brocha | rodillo | pistola | espatula,ajustador,,,Brocha o rodillo 1 galón No requerido Pistola convencional 1 galón ¼ de galón Aplica de 3 a 4 manos (capas) en el sentido de la veta de | Pistola convencional 1 galón ¼ de galón Aplica de 3 a 4 manos (capas) en el sentido de la veta de la madera y deje secar entre 3 y 5 horas e,galón,F BARNIZ K1 AUT  GL-END E40 1/4 GL THII,F51019803,85.5,db:vw_inventario_agente,F BARNIZ K1 AUT GL END E40 THII
