product_name,page_url,technical_sheet_url,buy_url,calculator_url,summary_public,finish,recommended_use,surface_targets,benefit_tags,application_methods,related_products,coverage_ranges,drying_times,dilution_hints,presentations,inventory_match_name,inventory_match_ref,inventory_match_score,inventory_match_source,canonical_family_from_inventory,decision,decision_note
Impregnante para madera,https://www.pintuco.com.co/productos/impregnante-para-madera/,https://www.pintuco.com.co/wp-content/uploads/2019/12/impregnante-eco-wood-stain-base-agua.pdf,https://tienda.pintuco.com/,,"Impregnante base agua o tipo lasur es un monocomponente que decora y protege las maderas de manera preventiva contra los rayos del sol, la humedad, el moho, la mancha azul, termitas y comején, conservando la veta natural y dejando un acabado mate, de rápido secado, fácil aplicación y baja emisión de compuestos orgánico",,"Impregnante base agua o tipo lasur es un monocomponente que decora y protege las maderas de manera preventiva contra los rayos del sol, la humedad, el moho, la mancha azul, termitas y comején, conservando la veta natural y dejando un acabado mate, de rápido secado, fácil aplicación y baja emisión de compuestos orgánico",madera | exterior,antihongos | impermeable | rapido_secado,,,,,,1/4 galón | galón,MH TINTES PARA MADERA AMARILL 7420 0.95L,5891261,85.5,db:vw_inventario_agente,MH TINTES PARA MADERA AMARILL,cuarentena,Falta señal de familia/marca suficientemente fuerte
Barniz,https://www.pintuco.com.co/productos/barniz/,https://www.pintuco.com.co/download/48759/?tmstv=1672344796,https://tienda.pintuco.com/,,Estos son algunos de los beneficios que te ofrece Barniz: Alto rendimiento Fácil aplicación Ahorra tiempo y dinero,,Estos son algunos de los beneficios que te ofrece Barniz: Alto rendimiento Fácil aplicación Ahorra tiempo y dinero,,,,,,,,galón,F BARNIZ K1 AUT  GL-END E40 1/4 GL THII,F51019803,90.0,db:vw_inventario_agente,F BARNIZ K1 AUT GL END E40 THII,cuarentena,Falta señal de familia/marca suficientemente fuerte
Corrotec Wash Primer Aqua,https://www.pintuco.com.co/productos/corrotec-wash-primer-aqua/,https://www.pintuco.com.co/download/51444/?tmstv=1672344806,https://tienda.pintuco.com/,,Wash Primer Base Agua producto para usar como acondicionador de superficies metálicas no ferrosas en un componente que promueve adherencia por medio de una película continúa sobre superficies no ferrosas como aluminio y galvanizado.,,Wash Primer Base Agua producto para usar como acondicionador de superficies metálicas no ferrosas en un componente que promueve adherencia por medio de una película continúa sobre superficies no ferrosas como aluminio y galvanizado.,metal,,,wash primer,,,,1/4 galón | galón,PQ CORROTEC WASH PRIMER BASE AGUA 3.79L,5891755,88.89,backend_lookup,CORROTEC WASH PRIMER BASE AGUA,cuarentena,"Tiene valor, pero requiere revisión humana antes de enriquecer el RAG"
Esmalte Sintético,https://www.pintuco.com.co/productos/domestico/,https://www.pintuco.com.co/download/48989/?tmstv=1672344798,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Esmalte Sintético,"Es un esmalte sintético a base de aceite resistente al agua, con buena durabilidad, alto brillo y adherencia.",,"Es un esmalte sintético a base de aceite resistente al agua, con buena durabilidad, alto brillo y adherencia.",metal,durabilidad,,,,,,1/4 galón | galón | 5 galones,ESMALTE SINTETICO PINTULUX AMARILLO 18 2,10017047,90.0,db:vw_inventario_agente,ESMALTE SINTETICO PINTULUX,cuarentena,Falta señal de familia/marca suficientemente fuerte
Corrotec Wash Primer Base Solvente 509A / 509B,https://www.pintuco.com.co/productos/corrotec-wash-primer-base-solvente-509a-509b/,https://www.pintuco.com.co/download/51254/?tmstv=1672344802,https://tienda.pintuco.com/,,Wash primer base solvente 509A / 509B es un acondicionador de superficies metálicas ferrosas y no ferrosas.,,Wash primer base solvente 509A / 509B es un acondicionador de superficies metálicas ferrosas y no ferrosas.,metal | exterior,anticorrosivo,,wash primer,,,,,KORAZA PLASTICA BASE TINT 2.5G,10127998,85.5,db:vw_inventario_agente,KORAZA PLASTICA .,cuarentena,"Tiene valor, pero requiere revisión humana antes de enriquecer el RAG"
Pintura Viniltex Tiza,https://www.pintuco.com.co/productos/pintura-viniltex-tiza/,https://www.pintuco.com.co/download/48670/?tmstv=1672344795,https://tienda.pintuco.com/,,"Viniltex Tiza Es una pintura premium base agua, que permite crear un tablero o pizarra para escribir con tiza en superficies como paredes, cerámica, madera, vidrio o metal.",Mate,"Viniltex Tiza Es una pintura premium base agua, que permite crear un tablero o pizarra para escribir con tiza en superficies como paredes, cerámica, madera, vidrio o metal.",metal | madera | mamposteria,,,viniltex,,,,1/4 galón | galón,VINILTEX PRO 650 MENTA FRESCA 1549 5G,10400587,85.5,db:vw_inventario_agente,VINILTEX PRO 650 MENTA FRESCA,cuarentena,"Tiene valor, pero requiere revisión humana antes de enriquecer el RAG"
Intersmooth 7465HS,https://www.pintuco.com.co/productos/intersmooth-7465hs/,https://marinecoatings.brand.akzonobel.com/m/546ecf5032b2b7bd/original/Intersmooth_7465HS_SPC_spa_usa_A4_20210127.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Intersmooth 7465HS,Diseñado específicamente para embarcaciones de alta mar.,,Diseñado específicamente para embarcaciones de alta mar.,,,,,,,,5 galones,INTERSMOOTH 7465HS SPC ROJO GALON,10375755,90.0,db:vw_inventario_agente,INTERSMOOTH 7465HS SPC ROJO GALON,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Interspeed 640,https://www.pintuco.com.co/productos/interspeed-640/,https://marinecoatings.brand.akzonobel.com/m/2b7d52f17b0d1f06/original/Interspeed_640_spa_A4_20160519.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Interspeed 640,"Antiincrustante autopulimentante sin TBT, de alta eficacia.",,"Antiincrustante autopulimentante sin TBT, de alta eficacia.",exterior,alto_cubrimiento,,,,,,5 galones,INTERSPEED 640 NEGRO BRA642/5 5G,10128134,90.0,db:vw_inventario_agente,INTERSPEED 640 NEGRO BRA642,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Intershield 6GV,https://www.pintuco.com.co/productos/intershield-6gv/,https://marinecoatings.brand.akzonobel.com/m/643122182505663f/original/Intershield_6GV_USA_eng_usa_A4_20220323.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Intershield 6GV,"Para su aplicación donde se requiera un revestimiento de cubierta enrollable, de alta durabilidad, con baja absorción solar y antideslizante.",,"Para su aplicación donde se requiera un revestimiento de cubierta enrollable, de alta durabilidad, con baja absorción solar y antideslizante.",exterior,durabilidad,,,,,,galón,F K INTERSHIELD BRONCE PAR A 2.5G PAR B,F51019932,85.5,db:vw_inventario_agente,F K INTERSHIELD BRONCE PAR A . PAR B,cuarentena,"Tiene valor, pero requiere revisión humana antes de enriquecer el RAG"
Intershield 7100LWT,https://www.pintuco.com.co/productos/intershield-7100lwt/,https://marinecoatings.brand.akzonobel.com/m/74c8db4264c4c6c2/original/Intershield_7100LWT_spa_A4_20170117.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Intershield 7100LWT,"Como recubrimiento previo a revestimientos, ultraligero, autonivelante para sistemas de cubiertas interiores y exteriores.",,"Como recubrimiento previo a revestimientos, ultraligero, autonivelante para sistemas de cubiertas interiores y exteriores.",interior | exterior,alto_cubrimiento,,,,,,,F K INTERSHIELD BRONCE PAR A 2.5G PAR B,F51019932,85.5,db:vw_inventario_agente,F K INTERSHIELD BRONCE PAR A . PAR B,cuarentena,"Tiene valor, pero requiere revisión humana antes de enriquecer el RAG"
Intertherm 3350,https://www.pintuco.com.co/productos/intertherm-3350/,https://international.brand.akzonobel.com/m/5ef1b3d45d00af82/original/Intertherm_3350_eng_A4_20191113.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Intertherm 3350,,,,,,,,,,,5 galones,INTERTHERM 50 HTA097/20L/AA7,5864048,85.5,db:vw_inventario_agente,INTERTHERM HTA097,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Intershield 5150LWT,https://www.pintuco.com.co/productos/intershield-5150lwt/,https://marinecoatings.brand.akzonobel.com/m/428b3c78ff6cf193/original/Intershield_5150LWT_spa_A4_20150204.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Intershield 5150LWT,"Donde quiera que se requiera un revestimiento aplicable a rodillo, antideslizante, ligero y de alta durabilidad.",,"Donde quiera que se requiera un revestimiento aplicable a rodillo, antideslizante, ligero y de alta durabilidad.",,durabilidad,rodillo,,,,,,F K INTERSHIELD BRONCE PAR A 2.5G PAR B,F51019932,85.5,db:vw_inventario_agente,F K INTERSHIELD BRONCE PAR A . PAR B,cuarentena,"Tiene valor, pero requiere revisión humana antes de enriquecer el RAG"
Arena Quarzo G300N,https://www.pintuco.com.co/productos/arena-quarzo-g300n/,https://www.pintuco.com.co/wp-content/uploads/2019/12/ft-arena-quarzo-g300n.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Arena Quarzo G300N,Arena quarzo G300N es una sílice utilizada como aditivo en sistemas de pintado para pavimentos,,Arena quarzo G300N es una sílice utilizada como aditivo en sistemas de pintado para pavimentos,,,,,,,,,ARENA QUARZO G300N UFA850/25KG/AA7,5891610,90.0,db:vw_inventario_agente,ARENA QUARZO G300N,cuarentena,Falta señal de familia/marca suficientemente fuerte
Interthane 990,https://www.pintuco.com.co/productos/interthane-990/,https://international.brand.akzonobel.com/m/2a7bc2f796297109/original/Interthane_990_spa_usa_LTR_20221020.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Interthane 990,,,,,,,,,,,galón,INTERTHANE 990 NARANJA RAL2003 P.A 4.29G,10252270,90.0,db:vw_inventario_agente,INTERTHANE 990 NARANJA RAL2003 P.A .,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Pintunov 100WS,https://www.pintuco.com.co/productos/pintunov-100ws/,https://www.pintuco.com.co/wp-content/uploads/2019/12/ft-pintunov-100ws.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Pintunov 100WS,Pintunov 100WS es un recubrimiento auto imprimante epóxico modificado 100% sólidos.,,Pintunov 100WS es un recubrimiento auto imprimante epóxico modificado 100% sólidos.,exterior,alto_cubrimiento,,,,,,,PINTUNOV 51125 UFA350/20L/AA7,5892594,85.5,db:vw_inventario_agente,PINTUNOV,cuarentena,Falta señal de familia/marca suficientemente fuerte
Construcleaner limpiador desengrasante,https://www.pintuco.com.co/productos/construcleaner-limpiador-desengrasente/,https://www.pintuco.com.co/download/66081/?tmstv=1678971830,https://tienda.pintuco.com/,,"Construcleaner Limpiador Desengrasante es un limpiador base agua, no ácido, formulado con aditivos especiales para remover fácilmente las manchas generadas por hollín, polvo, grasa, aceite y otros contaminantes que afectan la buena apariencia de las fachadas.",,"Construcleaner Limpiador Desengrasante es un limpiador base agua, no ácido, formulado con aditivos especiales para remover fácilmente las manchas generadas por hollín, polvo, grasa, aceite y otros contaminantes que afectan la buena apariencia de las fachadas.",mamposteria | exterior,,,,,,,5 galones,LIMPIADOR DE JUNTAS 650ML,51018920,85.5,db:vw_inventario_agente,LIMPIADOR DE JUNTAS,cuarentena,Falta señal de familia/marca suficientemente fuerte
Pintura electrostática Poliéster Clarity,https://www.pintuco.com.co/productos/pintura-electrostatica-poliester-clarity/,/download/93955/?tmstv=1718898221,https://tienda.pintuco.com/,,,,,,,,,,,,,POLIESTER COMBINADO 1/4,56254222,85.5,db:vw_inventario_agente,POLIESTER COMBINADO,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Pintura electrostática poliéster Corrotec,https://www.pintuco.com.co/productos/pintura-electrostatica-poliester-corrotec/,https://www.pintuco.com.co/download/49773/?tmstv=1676921348,https://tienda.pintuco.com/,,"Pintura electrostática Poliéster corrotec formulada con resina Poliéster ofrece alta resistencia a la corrosión, excelente resistencia química, mecánica, al rayado superficial y alta dureza.",,"Pintura electrostática Poliéster corrotec formulada con resina Poliéster ofrece alta resistencia a la corrosión, excelente resistencia química, mecánica, al rayado superficial y alta dureza.",exterior,anticorrosivo | alto_cubrimiento,,corrotec,,,,,POLIESTER COMBINADO 1/4,56254222,85.5,db:vw_inventario_agente,POLIESTER COMBINADO,cuarentena,"Tiene valor, pero requiere revisión humana antes de enriquecer el RAG"
Asepsia Ultra Acríl Uretano pintura para hospitales,https://www.pintuco.com.co/productos/asepsia-acril-uretano/,https://www.pintuco.com.co/download/64467/?tmstv=1672344834,https://tienda.pintuco.com/,,,,,,,,,,,,galón | 5 galones,"DISCO PARA CONCRETO 7""",56254161,85.5,db:vw_inventario_agente,"DISCO PARA CONCRETO """,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Pintura impermeabilizante aquablock ultra,https://www.pintuco.com.co/productos/impermeabilizante-aquablock-ultra/,https://www.pintuco.com.co/download/64378/?tmstv=1672344833,https://tienda.pintuco.com/,,"Aquablock Ultra es una pintura impermeabilizante, es acrílica base agua de alto desempeño, para uso interior y exterior, posee resinas acrílicas, fungicidas y micro partículas que penetran el sustrato, lo sellan e inhiben el paso de la humedad por capilaridad o presión negativa.",,"Aquablock Ultra es una pintura impermeabilizante, es acrílica base agua de alto desempeño, para uso interior y exterior, posee resinas acrílicas, fungicidas y micro partículas que penetran el sustrato, lo sellan e inhiben el paso de la humedad por capilaridad o presión negativa.",interior | exterior,impermeable,,,,,,1/4 galón | galón | 5 galones,SELLADOR ULTRA PRO,56253585,85.5,db:vw_inventario_agente,SELLADOR ULTRA PRO,cuarentena,"Tiene valor, pero requiere revisión humana antes de enriquecer el RAG"
Endurecedor E30,https://www.pintuco.com.co/productos/endurecedor-e30/,https://www.pintuco.com.co/download/60682/?tmstv=1672344816,https://tienda.pintuco.com/,,"Endurecedor E30 es un producto diseñado específicamente para mezclar con sistemas 2K, primers, clears y sistemas de color Poliuretano.",,"Endurecedor E30 es un producto diseñado específicamente para mezclar con sistemas 2K, primers, clears y sistemas de color Poliuretano.",,,,,,,,1/4 galón | galón,ENDURECEDOR E-70 BASE FLASH 1/4G,10384343,85.5,db:vw_inventario_agente,ENDURECEDOR E BASE FLASH,cuarentena,El match apunta a componente o kit; revisar familia maestra manualmente
Sellador para pared Imprimax base color 3502,https://www.pintuco.com.co/productos/imprimax-base-color-3502/,https://www.pintuco.com.co/download/64402/?tmstv=1672344833,https://tienda.pintuco.com/,,lmprimax base color 3502 es un sellador para pared 100% acrílico base agua de alta penetración en el sustrato y con excelente poder sellante.,,lmprimax base color 3502 es un sellador para pared 100% acrílico base agua de alta penetración en el sustrato y con excelente poder sellante.,metal | mamposteria,,,,,,100% acrílico base agua de alta penetración en el sustrato y con excelente poder sellante,galón | 5 galones,"DISCO PARA CONCRETO 7""",56254161,85.5,db:vw_inventario_agente,"DISCO PARA CONCRETO """,cuarentena,Falta señal de familia/marca suficientemente fuerte
Aluminios para Metalizados Koverlac,https://www.pintuco.com.co/productos/aluminios-para-metalizados-koverlac/,https://www.pintuco.com.co/wp-content/uploads/2019/12/ft-sistema-koverlac.pdf,https://tienda.pintuco.com/,,Koberlac de secado al aire que se caracterizan por su rápido secado y buen acabado.,,Koberlac de secado al aire que se caracterizan por su rápido secado y buen acabado.,,rapido_secado,,,,,,galón,"DISCO PARA CONCRETO 7""",56254161,85.5,db:vw_inventario_agente,"DISCO PARA CONCRETO """,cuarentena,Falta señal de familia/marca suficientemente fuerte
Aluminios para Metalizados Mega Basecoat,https://www.pintuco.com.co/productos/aluminios-para-metalizados-mega-basecoat/,,https://tienda.pintuco.com/,,"Perlas convencionales mega basecoat hace parte del Sistema de color Mega Basecoat poliéster, ideales para la igualación o entonación de colores automotrices, que cuenta con un compacto portafolio comprendido en 30 Tintas sólidas 10 Aluminios 17 Perlas 3 Aditivos",,"Perlas convencionales mega basecoat hace parte del Sistema de color Mega Basecoat poliéster, ideales para la igualación o entonación de colores automotrices, que cuenta con un compacto portafolio comprendido en 30 Tintas sólidas 10 Aluminios 17 Perlas 3 Aditivos",metal | exterior,,,,,,,1/4 galón | galón,"DISCO PARA CONCRETO 7""",56254161,85.5,db:vw_inventario_agente,"DISCO PARA CONCRETO """,cuarentena,"Tiene valor, pero requiere revisión humana antes de enriquecer el RAG"
Madetec Base Inmunizante,https://www.pintuco.com.co/productos/madetec-base-inmunizante/,https://www.pintuco.com.co/download/48765/?tmstv=1672344796,https://tienda.pintuco.com/,,"Madetec Base Inmunizante Es una base preventiva contra hongos e insectos como termitas y gorgojos, ideal para todo tipo de madera (nuevas o en proceso de repinte).",Mate,"Madetec Base Inmunizante Es una base preventiva contra hongos e insectos como termitas y gorgojos, ideal para todo tipo de madera (nuevas o en proceso de repinte).",madera,antihongos,,,,,,1/4 galón | galón,MADETEC BO 2K SELLA ALTA TRANS 28119 50G,10388059,85.5,db:vw_inventario_agente,MADETEC BO 2K SELLA ALTA TRANS,cuarentena,Falta señal de familia/marca suficientemente fuerte
Thinner para limpieza de equipos litográficos 21144,https://www.pintuco.com.co/productos/thinner-para-limpieza-de-equipos-litograficos-21144/,https://www.pintuco.com.co/download/51832/?tmstv=1672344812,https://tienda.pintuco.com/,,Thinner para limpieza de equipos litográficos 21144 es un disolvente tipo glicol aromático.,,Thinner para limpieza de equipos litográficos 21144 es un disolvente tipo glicol aromático.,exterior,,,,,,,,THINNER EQUIPOS LITOGRAFICOS 21144 55 GL,10017257,91.89,backend_lookup,THINNER EQUIPOS LITOGRAFICOS,cuarentena,Falta señal de familia/marca suficientemente fuerte
Thinner para acrílicas Ref 21018,https://www.pintuco.com.co/productos/thinner-para-acrilicas-ref-21018/,https://www.pintuco.com.co/download/51834/?tmstv=1672344813,https://tienda.pintuco.com/,,Thinner para acrílicas Ref 21018 es una mezcla balanceada de solventes aromático y oxigenados.,,Thinner para acrílicas Ref 21018 es una mezcla balanceada de solventes aromático y oxigenados.,exterior,,,,,,,,THINNER 1/2 BOTELLA,50000934,85.5,db:vw_inventario_agente,THINNER BOTELLA,cuarentena,Falta señal de familia/marca suficientemente fuerte
Thinner Para Sistemas Litográficos 21027,https://www.pintuco.com.co/productos/thinner-para-sistemas-litograficos-21027/,https://www.pintuco.com.co/download/51836/?tmstv=1672344813,https://tienda.pintuco.com/,,Thinner Para Sistemas Litográficos 21027 es una mezcla balanceada de solventes aromáticos y alcoholes.,,Thinner Para Sistemas Litográficos 21027 es una mezcla balanceada de solventes aromáticos y alcoholes.,exterior,,,,,,,,THINNER PARA LITOGRAFICOS 21027 55 GL,10017247,91.18,backend_lookup,THINNER PARA LITOGRAFICOS,cuarentena,Falta señal de familia/marca suficientemente fuerte
Perlas crystal NM500,https://www.pintuco.com.co/productos/perlas-crystal-nm500/,https://www.pintuco.com.co/download/51850/?tmstv=1672344813,https://tienda.pintuco.com/,,Perlas crystal NM500 hace parte del sistema de color poliéster de altos sólidos con tecnología anti sedimentación.,,Perlas crystal NM500 hace parte del sistema de color poliéster de altos sólidos con tecnología anti sedimentación.,exterior,alto_cubrimiento,,,,,,,POLIESTER AZUL CRYSTAL CAJA 20 KG,10375417,85.5,db:vw_inventario_agente,POLIESTER AZUL CRYSTAL CAJA,cuarentena,Falta señal de familia/marca suficientemente fuerte
Aluminios para metalizados,https://www.pintuco.com.co/productos/aluminios-para-metalizados/,/download/93958/?tmstv=1718899649,https://tienda.pintuco.com/,,"Aluminios para metalizados son lacas nitro de secado al aire que se caracterizan por su excelente acabado y brillo, resistentes a la intemperie, mayor rendimiento con menos manos de aplicación y fácil de aplicar en todo tipo de ambientes.",,"Aluminios para metalizados son lacas nitro de secado al aire que se caracterizan por su excelente acabado y brillo, resistentes a la intemperie, mayor rendimiento con menos manos de aplicación y fácil de aplicar en todo tipo de ambientes.",metal | exterior,rapido_secado | durabilidad,,,,,,1/4 galón | galón,MH TINTES PARA MADERA AMARILL 7420 0.95L,5891261,85.5,db:vw_inventario_agente,MH TINTES PARA MADERA AMARILL,cuarentena,Falta señal de familia/marca suficientemente fuerte
Ajustador para limpieza de superficies metálicas 21241,https://www.pintuco.com.co/productos/ajustador-para-limpieza-de-superficies-metalicas-21241/,https://www.pintuco.com.co/download/51805/?tmstv=1672344812,https://tienda.pintuco.com/,,Ajustador para limpieza de superficies metálicas 21241 es un solvente alifático tipo N°3.,,Ajustador para limpieza de superficies metálicas 21241 es un solvente alifático tipo N°3.,metal | exterior,,,ajustador,,,,galón,AUXILIO DE TRANSPORTE,52052701,85.5,db:vw_inventario_agente,AUXILIO DE TRANSPORTE,cuarentena,Falta señal de familia/marca suficientemente fuerte
Estuco Profesional 2 en 1,https://www.pintuco.com.co/productos/estuco-profesional-2-en-1/,https://www.pintuco.com.co/download/64451/?tmstv=1672344834,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=estucos&&name_product=Estuco Profesional 2 en 1,,,,,,,,,,,,ESTUCO PROFESIONAL OBRAS 25 KG,20011524,86.36,backend_lookup,ESTUCO PROFESIONAL OBRAS,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Ajustador aromático 21133,https://www.pintuco.com.co/productos/ajustador-aromatico-21133/,https://www.pintuco.com.co/download/51807/?tmstv=1672344812,https://tienda.pintuco.com/,,"Ajustador aromático 21133 es un solvente incoloro tipo aromático, diseñado para diluir pinturas litográficas de diferentes químicas desde su composición.",,"Ajustador aromático 21133 es un solvente incoloro tipo aromático, diseñado para diluir pinturas litográficas de diferentes químicas desde su composición.",exterior,,,ajustador,,,Contiene instrucciones de dilución en la página pública,,AJUSTADOR AROMATICO 21133 55G,10017255,95.0,db:vw_inventario_agente,AJUSTADOR AROMATICO,cuarentena,Falta señal de familia/marca suficientemente fuerte
Thinner para poliuretanos 21128,https://www.pintuco.com.co/productos/thinner-para-poliuretanos-21128/,https://www.pintuco.com.co/download/51809/?tmstv=1672344812,https://tienda.pintuco.com/,,Thinner pra poliuretanos 21128 es una mezcla balanceada de solventes aromático y oxigenados.,,Thinner pra poliuretanos 21128 es una mezcla balanceada de solventes aromático y oxigenados.,exterior,,,,,,,5 galones,THINER PARA POLIURETANOS,51008369,87.27,db:vw_inventario_agente,THINER PARA POLIURETANOS,cuarentena,Falta señal de familia/marca suficientemente fuerte
Thinner económico universal 21126,https://www.pintuco.com.co/productos/thinner-economico-universal-21126/,https://www.pintuco.com.co/download/94909/?tmstv=1722286444,https://tienda.pintuco.com/,,"Thinner económico universal 21126 es una mezcla balanceada de solventes aromático, alifático y solventes oxigenados.",,"Thinner económico universal 21126 es una mezcla balanceada de solventes aromático, alifático y solventes oxigenados.",exterior,,,,,,,5 galones,THINNER ECONOMICO UNIVERSAL 21210 5G,10201209,89.86,db:vw_inventario_agente,THINNER ECONOMICO UNIVERSAL,cuarentena,Falta señal de familia/marca suficientemente fuerte
Ajustador para equipos poliuretanos 21125,https://www.pintuco.com.co/productos/ajustador-para-equipos-poliuretanos-21125/,,https://tienda.pintuco.com/,,Ajustador para equipos poliuretanos 21125 es una mezcla balanceada de solventes aromático y oxigenados.,,Ajustador para equipos poliuretanos 21125 es una mezcla balanceada de solventes aromático y oxigenados.,exterior,,,ajustador,,,,galón | 5 galones,MH AJUSTADOR PARA EQUIPOS 21125 3.79L,5892177,86.15,backend_lookup,MH AJUSTADOR PARA EQUIPOS,cuarentena,Falta señal de familia/marca suficientemente fuerte
Thinner para acrílicas y caucho clorado 21124,https://www.pintuco.com.co/productos/thinner-para-acrilicas-y-caucho-clorado-21124/,,https://tienda.pintuco.com/,,Thinner para acrílicas y caucho clorado 21124 solventes aromáticos y ésteres.,,Thinner para acrílicas y caucho clorado 21124 solventes aromáticos y ésteres.,exterior,,,,,,,,THINNER ACRILICAS Y CAUCHO CLORADO 55G,10017253,89.72,db:vw_inventario_agente,THINNER ACRILICAS Y CAUCHO CLORADO,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Ajustador para pintutráfico 21121,https://www.pintuco.com.co/productos/ajustador-para-pintutrafico-21121/,,https://tienda.pintuco.com/,,Ajustador para pintutráfico 21121 solventes aromáticos y ésteres,,Ajustador para pintutráfico 21121 solventes aromáticos y ésteres,exterior | piso,,,ajustador,,,,5 galones,AJUSTADOR PARA PINTUTRAFICO 21121 BOTELL,F51060533,95.0,db:vw_inventario_agente,AJUSTADOR PARA PINTUTRAFICO 21121 BOTELL,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Ajustador para altas temperaturas 21119,https://www.pintuco.com.co/productos/ajustador-para-altas-temperaturas-21119/,,https://tienda.pintuco.com/,,Ajustador para altas temperaturas 21119 es una mezcla balanceada de solventes aromáticos.,,Ajustador para altas temperaturas 21119 es una mezcla balanceada de solventes aromáticos.,exterior,,,ajustador,,,,,"DISCO PARA CONCRETO 7""",56254161,85.5,db:vw_inventario_agente,"DISCO PARA CONCRETO """,cuarentena,Falta señal de familia/marca suficientemente fuerte
Ajustador para poliuretanos 21115,https://www.pintuco.com.co/productos/ajustador-para-poliuretanos-21115/,https://www.pintuco.com.co/download/51673/?tmstv=1672344809,https://tienda.pintuco.com/,,Ajustador para poliuretanos 21115 es una mezcla balanceada de solventes aromático y oxigenados.,,Ajustador para poliuretanos 21115 es una mezcla balanceada de solventes aromático y oxigenados.,exterior,,,ajustador,,,,5 galones,AJUSTADOR PARA POLIURETANO 21125 BT,F205120055,91.18,db:vw_inventario_agente,AJUSTADOR PARA POLIURETANO 21125 BT,cuarentena,Falta señal de familia/marca suficientemente fuerte
Ajustador para limpieza de equipos 21105,https://www.pintuco.com.co/productos/ajustador-para-limpieza-de-equipos-21105/,https://www.pintuco.com.co/download/51675/?tmstv=1672344809,https://tienda.pintuco.com/,,"Ajustador para limpieza de equipos 21105 es un solvente incoloro de mezcla balanceada de solventes aromático y éster, diseñado con alto poder de dilución en los sistemas recomendados y para limpieza de equipos.",,"Ajustador para limpieza de equipos 21105 es un solvente incoloro de mezcla balanceada de solventes aromático y éster, diseñado con alto poder de dilución en los sistemas recomendados y para limpieza de equipos.",exterior,,,ajustador,,,Contiene instrucciones de dilución en la página pública,,AUXILIO DE TRANSPORTE,52052701,85.5,db:vw_inventario_agente,AUXILIO DE TRANSPORTE,cuarentena,Falta señal de familia/marca suficientemente fuerte
Ajustador para sistemas litográficos 21088,https://www.pintuco.com.co/productos/ajustador-para-sistemas-litograficos-21088/,https://www.pintuco.com.co/download/51677/?tmstv=1672344809,https://tienda.pintuco.com/,,Ajustador para sistemas litográficos 21088 es un disolvente glicol éter.,,Ajustador para sistemas litográficos 21088 es un disolvente glicol éter.,exterior,,,ajustador,,,,galón | 5 galones,"DISCO PARA CONCRETO 7""",56254161,85.5,db:vw_inventario_agente,"DISCO PARA CONCRETO """,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Thinner para poliuretano 21050,https://www.pintuco.com.co/productos/thinner-para-poliuretano-21050/,https://www.pintuco.com.co/download/51680/?tmstv=1672344810,https://tienda.pintuco.com/,,Thinner para poliuretano 21050 es una mezcla balanceada de solventes aromáticos y solvente oxigenados.,,Thinner para poliuretano 21050 es una mezcla balanceada de solventes aromáticos y solvente oxigenados.,exterior,,,,,,,galón | 5 galones,THINNER POLIURETANO BTL,51000848,85.95,db:vw_inventario_agente,THINNER POLIURETANO BTL,cuarentena,Falta señal de familia/marca suficientemente fuerte
