product_name,page_url,technical_sheet_url,buy_url,calculator_url,summary_public,finish,recommended_use,surface_targets,benefit_tags,application_methods,related_products,coverage_ranges,drying_times,dilution_hints,presentations,inventory_match_name,inventory_match_ref,inventory_match_score,inventory_match_source,canonical_family_from_inventory,decision,decision_note
Recubrimiento electrostático Epoxi poliéster antibacterial,https://www.pintuco.com.co/productos/pintura-electrostatica-epoxi-poliester-antibacterial/,https://www.pintuco.com.co/download/51252/?tmstv=1672344802,https://tienda.pintuco.com/,,"Pintura en polvo Epoxi poliéster antibacterial es un recubrimiento en polvo formulado en combinación de resina epóxica y poliéster, denominados HIBRIDOS.",,"Pintura en polvo Epoxi poliéster antibacterial es un recubrimiento en polvo formulado en combinación de resina epóxica y poliéster, denominados HIBRIDOS.",,antibacterial | alto_cubrimiento,,,,,,,DIGLOSSER POLIESTER BLANCO TRANSP 1/4G,10115682,85.5,db:vw_inventario_agente,DIGLOSSER POLIESTER BLANCO TRANSP,cuarentena,Falta señal de familia/marca suficientemente fuerte
Thinner Corriente 21219,https://www.pintuco.com.co/productos/thinner-corriente/,https://www.pintuco.com.co/download/51260/?tmstv=1672344802,https://tienda.pintuco.com/,,"Thinner corriente 21219 es una mezcla balanceada de solventes aromático, alifático y solventes oxigenados.",,"Thinner corriente 21219 es una mezcla balanceada de solventes aromático, alifático y solventes oxigenados.",exterior,,,,,,,1/4 galón | galón | 5 galones,PQ THINNER CORRIENTE 21219 0.95L,5891369,95.0,db:vw_inventario_agente,THINNER CORRIENTE,cuarentena,Falta señal de familia/marca suficientemente fuerte
Recubrimiento electrostático Poliéster corrotec,https://www.pintuco.com.co/productos/pintura-electrostatica-poliester-corrotec-2/,https://www.pintuco.com.co/download/49773/?tmstv=1672344800,https://tienda.pintuco.com/,,"Pintura en polvo Poliéster corrotec formulada con resina Poliéster ofrece alta resistencia a la corrosión, excelente resistencia química, mecánica, al rayado superficial y alta dureza.",,"Pintura en polvo Poliéster corrotec formulada con resina Poliéster ofrece alta resistencia a la corrosión, excelente resistencia química, mecánica, al rayado superficial y alta dureza.",exterior,anticorrosivo | alto_cubrimiento,,corrotec,,,,,PQ CORROTEC AQUA MAT GRIS 0.95L,5892836,85.5,db:vw_inventario_agente,CORROTEC AQUA MATE,cuarentena,"Tiene valor, pero requiere revisión humana antes de enriquecer el RAG"
Recubrimiento electrostático Poliéster low bake,https://www.pintuco.com.co/productos/pintura-electrostatica-poliester-low-bake/,https://www.pintuco.com.co/download/49768/?tmstv=1672344799,https://tienda.pintuco.com/,,Pintura en Polvo Poliéster low bake es un recubrimiento en polvo formulado a base de resina Poliéster.,,Pintura en Polvo Poliéster low bake es un recubrimiento en polvo formulado a base de resina Poliéster.,exterior,alto_cubrimiento,,,,,,,POLIESTER COMBINADO 1/4,56254222,85.5,db:vw_inventario_agente,POLIESTER COMBINADO,cuarentena,Falta señal de familia/marca suficientemente fuerte
Recubrimiento electrostático Poliéster Anodic,https://www.pintuco.com.co/productos/pintura-electrostatica-poliester-anodic/,https://www.pintuco.com.co/download/49766/?tmstv=1672344799,https://tienda.pintuco.com/,,Pintura en polvo Poliester Anodic es un recubrimiento en polvo formulado a base de resina Poliéster.,,Pintura en polvo Poliester Anodic es un recubrimiento en polvo formulado a base de resina Poliéster.,exterior,alto_cubrimiento,,,,,,,POLIESTER COMBINADO 1/4,56254222,85.5,db:vw_inventario_agente,POLIESTER COMBINADO,cuarentena,Falta señal de familia/marca suficientemente fuerte
Recubrimiento electrostático poliéster baja emisión,https://www.pintuco.com.co/productos/pintura-electrostatica-poliester-baja-emision/,https://www.pintuco.com.co/download/62446/?tmstv=1672344831,https://tienda.pintuco.com/,,"Pintura polvo poliéster baja emisión está formulada con resinas poliéster de bajas emisiones, que ofrecen una solución sostenible, de bajo impacto en la aplicación y en el uso; de alta resistencia a la corrosión, excelente resistencia química, mecánica, al rayado superficial y alta dureza.",,"Pintura polvo poliéster baja emisión está formulada con resinas poliéster de bajas emisiones, que ofrecen una solución sostenible, de bajo impacto en la aplicación y en el uso; de alta resistencia a la corrosión, excelente resistencia química, mecánica, al rayado superficial y alta dureza.",metal | exterior,anticorrosivo | alto_cubrimiento,,,,,,,POLIESTER AZUL CRYSTAL CAJA 20 KG,10375417,85.5,db:vw_inventario_agente,POLIESTER AZUL CRYSTAL CAJA,cuarentena,Falta señal de familia/marca suficientemente fuerte
Recubrimiento electrostático Poliéster crystal colors,https://www.pintuco.com.co/productos/pintura-electrostatica-poliester-crystal-colors/,https://www.pintuco.com.co/download/51247/?tmstv=1672344801,https://tienda.pintuco.com/,,Pintura en polvo Poliéster crystal color es un recubrimiento en polvo formulado a base de resina Poliéster.,,Pintura en polvo Poliéster crystal color es un recubrimiento en polvo formulado a base de resina Poliéster.,exterior,alto_cubrimiento,,,,,,,POLIESTER AZUL CRYSTAL CAJA 20 KG,10375417,85.5,db:vw_inventario_agente,POLIESTER AZUL CRYSTAL CAJA,cuarentena,Falta señal de familia/marca suficientemente fuerte
Recubrimiento electrostático Poliéster Clarity,https://www.pintuco.com.co/productos/pintura-electrostatica-poliester-clarity-2/,https://www.pintuco.com.co/download/51242/?tmstv=1672344801,https://tienda.pintuco.com/,,Recubrimiento en polvo formulado a base de resina Poliéster.,,Recubrimiento en polvo formulado a base de resina Poliéster.,exterior,alto_cubrimiento,,,,,,,POLIESTER COMBINADO 1/4,56254222,85.5,db:vw_inventario_agente,POLIESTER COMBINADO,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Mini Rodillo Flock Pintuco 4″,https://www.pintuco.com.co/productos/mini-rodillo-flock-pintuco-4/,,https://tienda.pintuco.com/,,,,,,,,,,,,,MINI RODILLO FLOCK PINTUCO,10375596,95.0,db:vw_inventario_agente,MINI RODILLO FLOCK PINTUCO,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Espuma Corrugada 5m,https://www.pintuco.com.co/productos/espuma-corrugada-5m/,,https://tienda.pintuco.com/,,,,,,,,,,,,,TOOLS ESPUMA CORRUGADA 5M,6448768,95.0,db:vw_inventario_agente,TOOLS ESPUMA CORRUGADA 5M,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
