tipo_documento,archivo_actual,nombre_recomendado,accion,nota,lookup_inventario_sugerido,ejemplo_erp_encontrado,ref_erp_ejemplo,familia_canonica,marca,estado_validacion,match_source,match_score,match_query_usada,nombre_recomendado_auto,accion_auto,estado_validacion_auto,nota_auto
ficha_tecnica,ALTA TEMPERATURA ALUMINIO 905.pdf,ALTAS TEMPERATURAS.pdf,renombrar,"Cruce automático desde inventario (backend_lookup, score 90.0) -> ALTAS TEMPERATURAS",alta temperatura aluminio 905,ALTAS TEMPERATURAS 901 UEA750/3.7L/AA7,5890596,ALTA TEMPERATURA 905,,validado_automatico,backend_lookup,90.0,ALTA TEMPERATURA 905,ALTAS TEMPERATURAS.pdf,renombrar,validado_automatico,"Cruce automático desde inventario (backend_lookup, score 90.0) -> ALTAS TEMPERATURAS"
ficha_tecnica,CONSTRUCLEANER RESTAURADOR DE LADRILLO.pdf,AUXILIO DE TRANSPORTE.pdf,renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 85.5) -> AUXILIO DE TRANSPORTE",construcleaner restaurador de ladrillo,AUXILIO DE TRANSPORTE,52052701,CONSTRUCLEANER RESTAURADOR DE LADRILLO,CONSTRUCLEANER,validado_con_revision,db:vw_inventario_agente,85.5,CONSTRUCLEANER RESTAURADOR DE LADRILLO,AUXILIO DE TRANSPORTE.pdf,renombrar,validado_con_revision,"Cruce automático desde inventario (db:vw_inventario_agente, score 85.5) -> AUXILIO DE TRANSPORTE"
ficha_tecnica,PLASTICO EN FRIO EN LLANA.pdf,PLASTICO EN FRIO EN LLANA.pdf,revisar,"Match encontrado en inventario (db:vw_inventario_agente, score 88.0), pero la propuesta automática parece demasiado SKU-específica o dudosa; revisar manualmente",plastico en frio en llana,KIT PLASTICO FRIO LLANA NEGRO 1GL,10388483,PLASTICO EN FRIO EN LLANA,,revisar_manual,db:vw_inventario_agente,88.05,PLASTICO EN FRIO EN LLANA,KIT PLASTICO FRIO LLANA.pdf,revisar,revisar_manual,"Match encontrado en inventario (db:vw_inventario_agente, score 88.0), pero la propuesta automática parece demasiado SKU-específica o dudosa; revisar manualmente"
ficha_tecnica,WASH PRIMER BASE AGUA.pdf,CORROTEC WASH PRIMER BASE AGUA.pdf,renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 90.0) -> CORROTEC WASH PRIMER BASE AGUA",wash primer base agua,PQ CORROTEC WASH PRIMER BASE AGUA 0.95L,5891756,WASH PRIMER BASE AGUA,PINTULUX,validado_automatico,db:vw_inventario_agente,90.0,WASH PRIMER BASE AGUA,CORROTEC WASH PRIMER BASE AGUA.pdf,renombrar,validado_automatico,"Cruce automático desde inventario (db:vw_inventario_agente, score 90.0) -> CORROTEC WASH PRIMER BASE AGUA"
ficha_tecnica,ALUMINIO LIQUIDO ECP-100.pdf,ESMALTE DOMESTICO ALUMINIO P.pdf,renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 85.5) -> ESMALTE DOMESTICO ALUMINIO P",aluminio liquido ecp-100,ESMALTE DOMESTICO ALUMINIO P-153 1/8G,10227787,ALUMINIO LIQUIDO ECP-100,,validado_con_revision,db:vw_inventario_agente,85.5,ALUMINIO LIQUIDO ECP 100,ESMALTE DOMESTICO ALUMINIO P.pdf,renombrar,validado_con_revision,"Cruce automático desde inventario (db:vw_inventario_agente, score 85.5) -> ESMALTE DOMESTICO ALUMINIO P"
ficha_tecnica,EPOXICA BASE AGUA PINTUCO.pdf,F PG LLVE PINTUCO SILICONA GRIS 300M.pdf,renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 85.5) -> F PG LLVE PINTUCO SILICONA GRIS 300M",epoxica base agua pintuco,F PG 4 LLVE 6 PINTUCO SILICONA GRIS 300M,F51019940,EPOXICA BASE AGUA PINTUCO,PINTUCO,validado_con_revision,db:vw_inventario_agente,85.5,EPOXICA BASE AGUA PINTUCO,F PG LLVE PINTUCO SILICONA GRIS 300M.pdf,renombrar,validado_con_revision,"Cruce automático desde inventario (db:vw_inventario_agente, score 85.5) -> F PG LLVE PINTUCO SILICONA GRIS 300M"
ficha_tecnica,PU Mate Serie 600 Act.pdf,KN3136 POL NEGRO GRANULAD MATE BTC.pdf,renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 85.5) -> KN3136 POL NEGRO GRANULAD MATE BTC",pu mate serie 600 act,KN3136 POL NEGRO GRANULAD MATE BTC  25KG,5864331,PU MATE SERIE 600 ACT,,validado_con_revision,db:vw_inventario_agente,85.5,PU MATE SERIE 600 ACT,KN3136 POL NEGRO GRANULAD MATE BTC.pdf,renombrar,validado_con_revision,"Cruce automático desde inventario (db:vw_inventario_agente, score 85.5) -> KN3136 POL NEGRO GRANULAD MATE BTC"
ficha_tecnica,THINNER CORRIENTE 21219.pdf,THINNER CORRIENTE.pdf,renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 95.0) -> THINNER CORRIENTE",thinner corriente 21219,PQ THINNER CORRIENTE 21219 0.95L,5891369,THINNER CORRIENTE 21219,,validado_automatico,db:vw_inventario_agente,95.0,THINNER CORRIENTE 21219,THINNER CORRIENTE.pdf,renombrar,validado_automatico,"Cruce automático desde inventario (db:vw_inventario_agente, score 95.0) -> THINNER CORRIENTE"
ficha_tecnica,PINTURAMA.pdf,PINTURAMA VERDE CRISTAL.pdf,renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 90.0) -> PINTURAMA VERDE CRISTAL",pinturama,PINTURAMA VERDE CRISTAL 117848 1G,10013503,PINTURAMA,,validado_automatico,db:vw_inventario_agente,90.0,PINTURAMA,PINTURAMA VERDE CRISTAL.pdf,renombrar,validado_automatico,"Cruce automático desde inventario (db:vw_inventario_agente, score 90.0) -> PINTURAMA VERDE CRISTAL"
ficha_tecnica,MICROESFERAS DE VIDRIO.pdf,BANDEJA SUPERMAX NARANJA DE 9PULG.pdf,renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 85.5) -> BANDEJA SUPERMAX NARANJA DE 9PULG",microesferas de vidrio,BANDEJA SUPERMAX NARANJA DE 9PULG,10018301,MICROESFERAS DE VIDRIO,,validado_con_revision,db:vw_inventario_agente,85.5,MICROESFERAS DE VIDRIO,BANDEJA SUPERMAX NARANJA DE 9PULG.pdf,renombrar,validado_con_revision,"Cruce automático desde inventario (db:vw_inventario_agente, score 85.5) -> BANDEJA SUPERMAX NARANJA DE 9PULG"
